FlightDate,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,Origin,Dest,CRSDepTime,DepTime,CRSArrTime,ArrTime,Cancelled,CancellationCode,DepDelay,ArrDelay,CRSElapsedTime
2024-01-08,WN,N708WN,1085,DAL,MDW,2115,2138,2305,2328,0,,23,23,110
2024-01-08,WN,N709WN,1090,MDW,LAS,0545,0645,0910,1010,0,,60,60,205
2024-01-08,WN,N709WN,1091,LAS,MDW,0940,0953,1305,1318,0,,13,13,205
2024-01-08,WN,N709WN,1092,MDW,PHX,1335,1335,1650,1650,0,,0,0,195
2024-01-08,WN,N709WN,1093,PHX,MDW,1720,1727,2035,2042,0,,7,7,195
2024-01-08,WN,N709WN,1094,MDW,BNA,2105,2115,2225,2235,0,,10,10,80
2024-01-08,WN,N709WN,1095,BNA,MDW,2255,2255,0015,0015,0,,0,0,80
2024-01-08,WN,N710WN,1100,MDW,BNA,0630,0713,0750,0833,0,,43,43,80
2024-01-08,WN,N710WN,1101,BNA,MDW,0820,0830,0940,0950,0,,10,10,80
2024-01-08,WN,N710WN,1102,MDW,DEN,1010,1025,1230,1245,0,,15,15,140
2024-01-08,WN,N710WN,1103,DEN,MDW,1300,1300,1520,1520,0,,0,0,140
2024-01-08,WN,N710WN,1104,MDW,BNA,1550,1626,1710,1746,0,,36,36,80
2024-01-08,WN,N710WN,1105,BNA,MDW,1740,1749,1900,1909,0,,9,9,80
2024-01-08,WN,N711WN,1110,MDW,LAS,0645,0651,1010,1016,0,,6,6,205
2024-01-08,WN,N711WN,1111,LAS,MDW,1040,1040,1405,1405,0,,0,0,205
2024-01-08,WN,N711WN,1112,MDW,PHX,1435,1453,1750,1808,0,,18,18,195
2024-01-08,WN,N711WN,1113,PHX,MDW,1820,1855,2135,2210,0,,35,35,195
2024-01-08,WN,N711WN,1114,MDW,ATL,2205,2205,2350,2350,0,,0,0,105
2024-01-08,WN,N711WN,1115,ATL,MDW,0020,0020,0205,0205,0,,0,0,105
2024-01-08,WN,N712WN,1120,MDW,BNA,0600,0600,0720,0720,0,,0,0,80
2024-01-08,WN,N712WN,1121,BNA,MDW,0750,0750,0910,0910,0,,0,0,80
2024-01-08,WN,N712WN,1122,MDW,LAS,0940,0951,1305,1316,0,,11,11,205
2024-01-08,WN,N712WN,1123,LAS,MDW,1335,1335,1700,1700,0,,0,0,205
2024-01-08,WN,N712WN,1124,MDW,DAL,1730,1730,1920,1920,0,,0,0,110
2024-01-08,WN,N712WN,1125,DAL,MDW,1950,1950,2140,2140,0,,0,0,110
2024-01-08,WN,N713WN,1130,MDW,ATL,0615,0620,0800,0805,0,,5,5,105
2024-01-08,WN,N713WN,1131,ATL,MDW,0830,0850,1015,1035,0,,20,20,105
2024-01-08,WN,N713WN,1132,MDW,ATL,1045,1049,1230,1234,0,,4,4,105
2024-01-08,WN,N713WN,1133,ATL,MDW,1300,1347,1445,1532,0,,47,47,105
2024-01-08,WN,N713WN,1134,MDW,DEN,1515,1515,1735,1735,0,,0,0,140
2024-01-08,WN,N713WN,1135,DEN,MDW,1805,1817,2025,2037,0,,12,12,140
2024-01-08,WN,N714WN,1140,MDW,ATL,0600,0600,0745,0745,0,,0,0,105
2024-01-08,WN,N714WN,1141,ATL,MDW,0815,0849,1000,1034,0,,34,34,105
2024-01-08,WN,N714WN,1142,MDW,STL,1030,1038,1135,1143,0,,8,8,65
2024-01-08,WN,N714WN,1143,STL,MDW,1205,1238,1310,1343,0,,33,33,65
2024-01-08,WN,N714WN,1144,MDW,DAL,1340,1340,1530,1530,0,,0,0,110
2024-01-08,WN,N714WN,1145,DAL,MDW,1600,1601,1750,1751,0,,1,1,110
2024-01-08,WN,N715WN,1150,MDW,DEN,0700,0700,0920,0920,0,,0,0,140
2024-01-08,WN,N715WN,1151,DEN,MDW,0950,1003,1210,1223,0,,13,13,140
2024-01-08,WN,N715WN,1152,MDW,DEN,1240,1240,1500,1500,0,,0,0,140
2024-01-08,WN,N715WN,1153,DEN,MDW,1530,1556,1750,1816,0,,26,26,140
2024-01-08,WN,N715WN,1154,MDW,BNA,1820,1845,1940,2005,0,,25,25,80
2024-01-08,WN,N715WN,1155,BNA,MDW,2010,2022,2130,2142,0,,12,12,80
2024-01-08,WN,N716WN,1160,MDW,MCI,0545,0545,0710,0710,0,,0,0,85
2024-01-08,WN,N716WN,1161,MCI,MDW,0740,0754,0905,0919,0,,14,14,85
2024-01-08,WN,N716WN,1162,MDW,MCI,0935,1002,1100,1127,0,,27,27,85
2024-01-08,WN,N716WN,1163,MCI,MDW,1130,1144,1255,1309,0,,14,14,85
2024-01-08,WN,N716WN,1164,MDW,MCI,1325,1326,1450,1451,0,,1,1,85
2024-01-08,WN,N716WN,1165,MCI,MDW,1520,1520,1645,1645,0,,0,0,85
2024-01-08,WN,N717WN,1170,MDW,DEN,0630,0631,0850,0851,0,,1,1,140
2024-01-08,WN,N717WN,1171,DEN,MDW,0920,0944,1140,1204,0,,24,24,140
2024-01-08,WN,N717WN,1172,MDW,DEN,1210,1240,1430,1500,0,,30,30,140
2024-01-08,WN,N717WN,1173,DEN,MDW,1500,1520,1720,1740,0,,20,20,140
2024-01-08,WN,N717WN,1174,MDW,DAL,1750,1750,1940,1940,0,,0,0,110
2024-01-08,WN,N717WN,1175,DAL,MDW,2010,2010,2200,2200,0,,0,0,110
2024-01-08,WN,N718WN,1180,MDW,BNA,0615,0620,0735,0740,0,,5,5,80
2024-01-08,WN,N718WN,1181,BNA,MDW,0805,0846,0925,1006,0,,41,41,80
2024-01-08,WN,N718WN,1182,MDW,DEN,0955,1012,1215,1232,0,,17,17,140
2024-01-08,WN,N718WN,1183,DEN,MDW,1245,1245,1505,1505,0,,0,0,140
2024-01-08,WN,N718WN,1184,MDW,ATL,1535,1535,1720,1720,0,,0,0,105
2024-01-08,WN,N718WN,1185,ATL,MDW,1750,1809,1935,1954,0,,19,19,105
2024-01-08,WN,N719WN,1190,MDW,PHX,0715,0721,1030,1036,0,,6,6,195
2024-01-08,WN,N719WN,1191,PHX,MDW,1100,1105,1415,1420,0,,5,5,195
2024-01-08,WN,N719WN,1192,MDW,BNA,1445,1445,1605,1605,0,,0,0,80
2024-01-08,WN,N719WN,1193,BNA,MDW,1635,1700,1755,1820,0,,25,25,80
2024-01-08,WN,N719WN,1194,MDW,LAS,1825,1837,2150,2202,0,,12,12,205
2024-01-08,WN,N719WN,1195,LAS,MDW,2220,2220,0145,0145,0,,0,0,205
2024-01-08,WN,N720WN,1200,MDW,LAS,0545,0547,0910,0912,0,,2,2,205
2024-01-08,WN,N720WN,1201,LAS,MDW,0940,0950,1305,1315,0,,10,10,205
2024-01-08,WN,N720WN,1202,MDW,MCI,1335,1335,1500,1500,0,,0,0,85
2024-01-08,WN,N720WN,1203,MCI,MDW,1530,1533,1655,1658,0,,3,3,85
2024-01-08,WN,N720WN,1204,MDW,MCI,1725,1737,1850,1902,0,,12,12,85
2024-01-08,WN,N720WN,1205,MCI,MDW,1920,1920,2045,2045,0,,0,0,85
2024-01-08,WN,N721WN,1210,MDW,BNA,0630,0630,0750,0750,0,,0,0,80
2024-01-08,WN,N721WN,1211,BNA,MDW,0820,0833,0940,0953,0,,13,13,80
2024-01-08,WN,N721WN,1212,MDW,LAS,1010,1010,1335,1335,0,,0,0,205
2024-01-08,WN,N721WN,1213,LAS,MDW,1405,1406,1730,1731,0,,1,1,205
2024-01-08,WN,N721WN,1214,MDW,STL,1800,1801,1905,1906,0,,1,1,65
2024-01-08,WN,N721WN,1215,STL,MDW,1935,1948,2040,2053,0,,13,13,65
2024-01-09,WN,N700WN,1000,MDW,DAL,0530,0554,0720,0744,0,,24,24,110
2024-01-09,WN,N700WN,1001,DAL,MDW,0750,0750,0940,0940,0,,0,0,110
2024-01-09,WN,N700WN,1002,MDW,PHX,1010,1030,1325,1345,0,,20,20,195
2024-01-09,WN,N700WN,1003,PHX,MDW,1355,1355,1710,1710,0,,0,0,195
2024-01-09,WN,N700WN,1004,MDW,DEN,1740,1740,2000,2000,0,,0,0,140
2024-01-09,WN,N700WN,1005,DEN,MDW,2030,2119,2250,2339,0,,49,49,140
2024-01-09,WN,N701WN,1010,MDW,DEN,0715,0738,0935,0958,0,,23,23,140
2024-01-09,WN,N701WN,1011,DEN,MDW,1005,1034,1225,1254,0,,29,29,140
2024-01-09,WN,N701WN,1012,MDW,DEN,1255,1301,1515,1521,0,,6,6,140
2024-01-09,WN,N701WN,1013,DEN,MDW,1545,1551,1805,1811,0,,6,6,140
2024-01-09,WN,N701WN,1014,MDW,ATL,1835,1853,2020,2038,0,,18,18,105
2024-01-09,WN,N701WN,1015,ATL,MDW,2050,2109,2235,2254,0,,19,19,105
2024-01-09,WN,N702WN,1020,MDW,LAS,0600,0615,0925,0940,0,,15,15,205
2024-01-09,WN,N702WN,1021,LAS,MDW,0955,1003,1320,1328,0,,8,8,205
2024-01-09,WN,N702WN,1022,MDW,STL,1350,1354,1455,1459,0,,4,4,65
2024-01-09,WN,N702WN,1023,STL,MDW,1525,1528,1630,1633,0,,3,3,65
2024-01-09,WN,N702WN,1024,MDW,BNA,1700,1733,1820,1853,0,,33,33,80
2024-01-09,WN,N702WN,1025,BNA,MDW,1850,1908,2010,2028,0,,18,18,80
2024-01-09,WN,N703WN,1030,MDW,PHX,0630,0638,0945,0953,0,,8,8,195
2024-01-09,WN,N703WN,1031,PHX,MDW,1015,1016,1330,1331,0,,1,1,195
2024-01-09,WN,N703WN,1032,MDW,PHX,1400,1448,1715,1803,0,,48,48,195
2024-01-09,WN,N703WN,1033,PHX,MDW,1745,1822,2100,2137,0,,37,37,195
2024-01-09,WN,N703WN,1034,MDW,ATL,2130,2130,2315,2315,0,,0,0,105
2024-01-09,WN,N703WN,1035,ATL,MDW,2345,0018,0130,0203,0,,33,33,105
2024-01-09,WN,N704WN,1040,MDW,STL,0545,0545,0650,0650,0,,0,0,65
2024-01-09,WN,N704WN,1041,STL,MDW,0720,0720,0825,0825,0,,0,0,65
2024-01-09,WN,N704WN,1042,MDW,STL,0855,0904,1000,1009,0,,9,9,65
2024-01-09,WN,N704WN,1043,STL,MDW,1030,1138,1135,1243,0,,68,68,65
2024-01-09,WN,N704WN,1044,MDW,STL,1205,1205,1310,1310,0,,0,0,65
2024-01-09,WN,N704WN,1045,STL,MDW,1340,1349,1445,1454,0,,9,9,65
2024-01-09,WN,N705WN,1050,MDW,DAL,0545,0615,0735,0805,0,,30,30,110
2024-01-09,WN,N705WN,1051,DAL,MDW,0805,0827,0955,1017,0,,22,22,110
2024-01-09,WN,N705WN,1052,MDW,BNA,1025,1025,1145,1145,0,,0,0,80
2024-01-09,WN,N705WN,1053,BNA,MDW,1215,1238,1335,1358,0,,23,23,80
2024-01-09,WN,N705WN,1054,MDW,BNA,1405,1405,1525,1525,0,,0,0,80
2024-01-09,WN,N705WN,1055,BNA,MDW,1555,1555,1715,1715,0,,0,0,80
2024-01-09,WN,N706WN,1060,MDW,MCI,0615,0615,0740,0740,0,,0,0,85
2024-01-09,WN,N706WN,1061,MCI,MDW,0810,0910,0935,1035,0,,60,60,85
2024-01-09,WN,N706WN,1062,MDW,BNA,1005,1005,1125,1125,0,,0,0,80
2024-01-09,WN,N706WN,1063,BNA,MDW,1155,1155,1315,1315,0,,0,0,80
2024-01-09,WN,N706WN,1064,MDW,DAL,1345,1356,1535,1546,0,,11,11,110
2024-01-09,WN,N706WN,1065,DAL,MDW,1605,1605,1755,1755,0,,0,0,110
2024-01-09,WN,N707WN,1070,MDW,STL,0600,0651,0705,0756,0,,51,51,65
2024-01-09,WN,N707WN,1071,STL,MDW,0735,0743,0840,0848,0,,8,8,65
2024-01-09,WN,N707WN,1072,MDW,STL,0910,0945,1015,1050,0,,35,35,65
2024-01-09,WN,N707WN,1073,STL,MDW,1045,1113,1150,1218,0,,28,28,65
2024-01-09,WN,N707WN,1074,MDW,ATL,1220,1244,1405,1429,0,,24,24,105
2024-01-09,WN,N707WN,1075,ATL,MDW,1435,1435,1620,1620,0,,0,0,105
2024-01-09,WN,N708WN,1080,MDW,ATL,0645,0700,0830,0845,0,,15,15,105
2024-01-09,WN,N708WN,1081,ATL,MDW,0900,0900,1045,1045,0,,0,0,105
2024-01-09,WN,N708WN,1082,MDW,MCI,1115,1115,1240,1240,0,,0,0,85
2024-01-09,WN,N708WN,1083,MCI,MDW,1310,1314,1435,1439,0,,4,4,85
2024-01-09,WN,N708WN,1084,MDW,LAS,1505,1505,1830,1830,0,,0,0,205
2024-01-09,WN,N708WN,1085,LAS,MDW,1900,2005,2225,2330,0,,65,65,205
2024-01-09,WN,N709WN,1090,MDW,DEN,0530,0530,0750,0750,0,,0,0,140
2024-01-09,WN,N709WN,1091,DEN,MDW,0820,0828,1040,1048,0,,8,8,140
2024-01-09,WN,N709WN,1092,MDW,ATL,1110,,1255,,1,A,,,105
2024-01-09,WN,N709WN,1093,ATL,MDW,1325,1327,1510,1512,0,,2,2,105
2024-01-09,WN,N709WN,1094,MDW,DAL,1540,1600,1730,1750,0,,20,20,110
2024-01-09,WN,N709WN,1095,DAL,MDW,1800,1807,1950,1957,0,,7,7,110
2024-01-09,WN,N710WN,1100,MDW,PHX,0615,0615,0930,0930,0,,0,0,195
2024-01-09,WN,N710WN,1101,PHX,MDW,1000,1004,1315,1319,0,,4,4,195
2024-01-09,WN,N710WN,1102,MDW,ATL,1345,1357,1530,1542,0,,12,12,105
2024-01-09,WN,N710WN,1103,ATL,MDW,1600,1624,1745,1809,0,,24,24,105
2024-01-09,WN,N710WN,1104,MDW,ATL,1815,1815,2000,2000,0,,0,0,105
2024-01-09,WN,N710WN,1105,ATL,MDW,2030,2030,2215,2215,0,,0,0,105
2024-01-09,WN,N711WN,1110,MDW,LAS,0715,0723,1040,1048,0,,8,8,205
2024-01-09,WN,N711WN,1111,LAS,MDW,1110,1110,1435,1435,0,,0,0,205
2024-01-09,WN,N711WN,1112,MDW,PHX,1505,1512,1820,1827,0,,7,7,195
2024-01-09,WN,N711WN,1113,PHX,MDW,1850,1907,2205,2222,0,,17,17,195
2024-01-09,WN,N711WN,1114,MDW,DEN,2235,2243,0055,0103,0,,8,8,140
2024-01-09,WN,N711WN,1115,DEN,MDW,0125,0125,0345,0345,0,,0,0,140
2024-01-09,WN,N712WN,1120,MDW,DAL,0615,0639,0805,0829,0,,24,24,110
2024-01-09,WN,N712WN,1121,DAL,MDW,0835,0848,1025,1038,0,,13,13,110
2024-01-09,WN,N712WN,1122,MDW,PHX,1055,1103,1410,1418,0,,8,8,195
2024-01-09,WN,N712WN,1123,PHX,MDW,1440,1530,1755,1845,0,,50,50,195
2024-01-09,WN,N712WN,1124,MDW,STL,1825,1855,1930,2000,0,,30,30,65
2024-01-09,WN,N712WN,1125,STL,MDW,2000,2019,2105,2124,0,,19,19,65
2024-01-09,WN,N713WN,1130,MDW,MCI,0545,0545,0710,0710,0,,0,0,85
2024-01-09,WN,N713WN,1131,MCI,MDW,0740,0740,0905,0905,0,,0,0,85
2024-01-09,WN,N713WN,1132,MDW,MCI,0935,1017,1100,1142,0,,42,42,85
2024-01-09,WN,N713WN,1133,MCI,MDW,1130,1130,1255,1255,0,,0,0,85
2024-01-09,WN,N713WN,1134,MDW,MCI,1325,1402,1450,1527,0,,37,37,85
2024-01-09,WN,N713WN,1135,MCI,MDW,1520,1520,1645,1645,0,,0,0,85
2024-01-09,WN,N714WN,1140,MDW,PHX,0600,0610,0915,0925,0,,10,10,195
2024-01-09,WN,N714WN,1141,PHX,MDW,0945,1011,1300,1326,0,,26,26,195
2024-01-09,WN,N714WN,1142,MDW,ATL,1330,1406,1515,1551,0,,36,36,105
2024-01-09,WN,N714WN,1143,ATL,MDW,1545,1607,1730,1752,0,,22,22,105
2024-01-09,WN,N714WN,1144,MDW,MCI,1800,1840,1925,2005,0,,40,40,85
2024-01-09,WN,N714WN,1145,MCI,MDW,1955,2006,2120,2131,0,,11,11,85
2024-01-09,WN,N715WN,1150,MDW,MCI,0545,0545,0710,0710,0,,0,0,85
2024-01-09,WN,N715WN,1151,MCI,MDW,0740,0806,0905,0931,0,,26,26,85
2024-01-09,WN,N715WN,1152,MDW,PHX,0935,1029,1250,1344,0,,54,54,195
2024-01-09,WN,N715WN,1153,PHX,MDW,1320,1356,1635,1711,0,,36,36,195
2024-01-09,WN,N715WN,1154,MDW,STL,1705,1714,1810,1819,0,,9,9,65
2024-01-09,WN,N715WN,1155,STL,MDW,1840,1910,1945,2015,0,,30,30,65
2024-01-09,WN,N716WN,1160,MDW,LAS,0545,0651,0910,1016,0,,66,66,205
2024-01-09,WN,N716WN,1161,LAS,MDW,0940,1003,1305,1328,0,,23,23,205
2024-01-09,WN,N716WN,1162,MDW,DAL,1335,1342,1525,1532,0,,7,7,110
2024-01-09,WN,N716WN,1163,DAL,MDW,1555,1627,1745,1817,0,,32,32,110
2024-01-09,WN,N716WN,1164,MDW,DEN,1815,1828,2035,2048,0,,13,13,140
2024-01-09,WN,N716WN,1165,DEN,MDW,2105,2105,2325,2325,0,,0,0,140
2024-01-09,WN,N717WN,1170,MDW,STL,0600,0626,0705,0731,0,,26,26,65
2024-01-09,WN,N717WN,1171,STL,MDW,0735,0735,0840,0840,0,,0,0,65
2024-01-09,WN,N717WN,1172,MDW,LAS,0910,0931,1235,1256,0,,21,21,205
2024-01-09,WN,N717WN,1173,LAS,MDW,1305,1305,1630,1630,0,,0,0,205
2024-01-09,WN,N717WN,1174,MDW,PHX,1700,1747,2015,2102,0,,47,47,195
2024-01-09,WN,N717WN,1175,PHX,MDW,2045,2045,0000,0000,0,,0,0,195
2024-01-09,WN,N718WN,1180,MDW,DEN,0715,0715,0935,0935,0,,0,0,140
2024-01-09,WN,N718WN,1181,DEN,MDW,1005,1010,1225,1230,0,,5,5,140
2024-01-09,WN,N718WN,1182,MDW,LAS,1255,1255,1620,1620,0,,0,0,205
2024-01-09,WN,N718WN,1183,LAS,MDW,1650,1650,2015,2015,0,,0,0,205
2024-01-09,WN,N718WN,1184,MDW,DEN,2045,2115,2305,2335,0,,30,30,140
2024-01-09,WN,N718WN,1185,DEN,MDW,2335,2335,0155,0155,0,,0,0,140
2024-01-09,WN,N719WN,1190,MDW,LAS,0630,0635,0955,1000,0,,5,5,205
2024-01-09,WN,N719WN,1191,LAS,MDW,1025,1025,1350,1350,0,,0,0,205
2024-01-09,WN,N719WN,1192,MDW,MCI,1420,1457,1545,1622,0,,37,37,85
2024-01-09,WN,N719WN,1193,MCI,MDW,1615,1633,1740,1758,0,,18,18,85
2024-01-09,WN,N719WN,1194,MDW,BNA,1810,1825,1930,1945,0,,15,15,80
2024-01-09,WN,N719WN,1195,BNA,MDW,2000,2000,2120,2120,0,,0,0,80
2024-01-09,WN,N720WN,1200,MDW,PHX,0615,0630,0930,0945,0,,15,15,195
2024-01-09,WN,N720WN,1201,PHX,MDW,1000,1000,1315,1315,0,,0,0,195
2024-01-09,WN,N720WN,1202,MDW,MCI,1345,1345,1510,1510,0,,0,0,85
2024-01-09,WN,N720WN,1203,MCI,MDW,1540,1548,1705,1713,0,,8,8,85
2024-01-09,WN,N720WN,1204,MDW,PHX,1735,1735,2050,2050,0,,0,0,195
2024-01-09,WN,N720WN,1205,PHX,MDW,2120,2122,0035,0037,0,,2,2,195
2024-01-09,WN,N721WN,1210,MDW,PHX,0600,0607,0915,0922,0,,7,7,195
2024-01-09,WN,N721WN,1211,PHX,MDW,0945,0945,1300,1300,0,,0,0,195
2024-01-09,WN,N721WN,1212,MDW,ATL,1330,1348,1515,1533,0,,18,18,105
2024-01-09,WN,N721WN,1213,ATL,MDW,1545,1545,1730,1730,0,,0,0,105
2024-01-09,WN,N721WN,1214,MDW,DEN,1800,1800,2020,2020,0,,0,0,140
2024-01-09,WN,N721WN,1215,DEN,MDW,2050,2127,2310,2347,0,,37,37,140
2024-01-10,WN,N700WN,1000,MDW,LAS,0615,0639,0940,1004,0,,24,24,205
2024-01-10,WN,N700WN,1001,LAS,MDW,1010,1010,1335,1335,0,,0,0,205
2024-01-10,WN,N700WN,1002,MDW,MCI,1405,1410,1530,1535,0,,5,5,85
2024-01-10,WN,N700WN,1003,MCI,MDW,1600,1600,1725,1725,0,,0,0,85
2024-01-10,WN,N700WN,1004,MDW,MCI,1755,1852,1920,2017,0,,57,57,85
2024-01-10,WN,N700WN,1005,MCI,MDW,1950,1956,2115,2121,0,,6,6,85
2024-01-10,WN,N701WN,1010,MDW,DEN,0545,0606,0805,0826,0,,21,21,140
2024-01-10,WN,N701WN,1011,DEN,MDW,0835,0852,1055,1112,0,,17,17,140
2024-01-10,WN,N701WN,1012,MDW,ATL,1125,1125,1310,1310,0,,0,0,105
2024-01-10,WN,N701WN,1013,ATL,MDW,1340,1423,1525,1608,0,,43,43,105
2024-01-10,WN,N701WN,1014,MDW,ATL,1555,1617,1740,1802,0,,22,22,105
2024-01-10,WN,N701WN,1015,ATL,MDW,1810,1821,1955,2006,0,,11,11,105
2024-01-10,WN,N702WN,1020,MDW,ATL,0530,0554,0715,0739,0,,24,24,105
2024-01-10,WN,N702WN,1021,ATL,MDW,0745,0747,0930,0932,0,,2,2,105
2024-01-10,WN,N702WN,1022,MDW,STL,1000,1038,1105,1143,0,,38,38,65
2024-01-10,WN,N702WN,1023,STL,MDW,1135,1156,1240,1301,0,,21,21,65
2024-01-10,WN,N702WN,1024,MDW,DEN,1310,1327,1530,1547,0,,17,17,140
2024-01-10,WN,N702WN,1025,DEN,MDW,1600,1600,1820,1820,0,,0,0,140
2024-01-10,WN,N703WN,1030,MDW,PHX,0530,0544,0845,0859,0,,14,14,195
2024-01-10,WN,N703WN,1031,PHX,MDW,0915,0928,1230,1243,0,,13,13,195
2024-01-10,WN,N703WN,1032,MDW,STL,1300,1306,1405,1411,0,,6,6,65
2024-01-10,WN,N703WN,1033,STL,MDW,1435,1456,1540,1601,0,,21,21,65
2024-01-10,WN,N703WN,1034,MDW,PHX,1610,1629,1925,1944,0,,19,19,195
2024-01-10,WN,N703WN,1035,PHX,MDW,1955,2011,2310,2326,0,,16,16,195
2024-01-10,WN,N704WN,1040,MDW,PHX,0700,0728,1015,1043,0,,28,28,195
2024-01-10,WN,N704WN,1041,PHX,MDW,1045,1100,1400,1415,0,,15,15,195
2024-01-10,WN,N704WN,1042,MDW,DEN,1430,1439,1650,1659,0,,9,9,140
2024-01-10,WN,N704WN,1043,DEN,MDW,1720,1723,1940,1943,0,,3,3,140
2024-01-10,WN,N704WN,1044,MDW,LAS,2010,2010,2335,2335,0,,0,0,205
2024-01-10,WN,N704WN,1045,LAS,MDW,0005,0016,0330,0341,0,,11,11,205
